iter	Passed	Remaining
0	190	59893
1	263	41431
2	369	38602
3	449	35079
4	573	35679
5	711	36735
6	781	34483
7	841	32392
8	930	31744
9	1027	31426
10	1099	30477
11	1148	29083
12	1219	28430
13	1287	27771
14	1350	27094
15	1406	26370
16	1456	25621717	1525	25258
18	1574	24611919	1648	24402
20	1724	24230
21	1784	23841
22	1846	23516
23	1911	23256
24	1998	23264
25	2054	22915
26	2122	22719
27	2363	24312
28	2492	24670
29	2586	24653
30	2717	24986
31	2803	24879
32	2911	24971
33	3027	25113
34	3158	25361
35	3257	25332
36	3329	25109
37	3411	24961
38	3522	25020
39	3618	24970
40	3694	24783
41	3767	24580
42	3865	24542
43	3960	24484
44	4020	24209
45	4116	24160
46	4138	23686
47	4218	23551
48	4420	24085
49	4464	23753
50	4567	23734
51	4643	23577
52	4790	23772
53	4922	23885
54	4993	23694
55	5079	23583
56	5143	23369
57	5218	23214
58	5303	23103
59	5411	23090
60	5482	22919
61	5575	22842
62	5679	22808
63	5778	22751
64	5852	22600
65	5958	22571
66	6076	22584
67	6168	22497
68	6243	22350
69	6403	22502
70	6503	22439
71	6642	22511
72	6708	22331
73	6819	22300
74	6937	22291
75	7024	22181
76	7095	22022
77	7192	21945
78	7314	21942
79	7407	21851
80	7503	21769
81	7583	21640
82	7683	21568
83	7819	21596
84	7910	21497
85	8080	21611
86	8170	21505
87	8248	21369
88	8364	21333
89	8490	21320
90	8579	21212
91	8656	21077
92	8786	21068
93	8883	20980
94	8955	20834
95	9020	20671
96	9085	20511
97	9150	20354
98	9250	20277
99	9328	20148
100	9413	20037
101	9524	19982
102	9610	19873
103	9703	19779
104	9843	19780
105	9951	19715
106	10071	19672
107	10191	19628
108	10270	19504
109	10349	19381
110	10493	19378
111	10609	19323
112	10678	19183
113	10750	19049
114	10833	18934
115	10913	18816
116	11014	18734
117	11117	18655
118	11265	18649
119	11397	18616
120	11484	18508
121	11583	18418
122	11641	18267
123	11749	18192
124	11821	18063
125	11937	18000
126	12039	17917
127	12118	17798
128	12255	17765
129	12417	17767
130	12536	17704
131	12628	17603
132	12744	17536
133	12888	17505
134	12981	17404
135	13098	17336
136	13221	17275
137	13328	17192
138	13477	17162
139	13625	17128
140	13744	17058
141	13839	16958
142	13957	16885
143	14039	16769
144	14158	16697
145	14261	16605
146	14338	16484
147	14421	16370
148	14532	16288
149	14649	16211
150	14782	16153
151	14863	16037
152	14910	15884
153	15025	15806
154	15136	15722
155	15242	15632
156	15325	15520
157	15405	15405
158	15486	15291
159	15570	15181
160	15640	15058
161	15763	14985
162	15835	14864
163	15925	14759
164	16063	14700
165	16160	14602
166	16288	14532
167	16393	14441
168	16500	14352
169	16604	14260
170	16687	14150
171	16786	14053
172	16914	13981
173	17064	13925
174	17128	13800
175	17256	13726
176	17346	13622
177	17455	13533
178	17524	13412
179	17611	13306
180	17700	13201
181	17783	13093
182	17854	12976
183	17965	12888
184	18075	12799
185	18190	12713
186	18250	12589
187	18333	12482
188	18409	12370
189	18505	12271
190	18605	12176
191	18709	12082
192	18827	11998
193	18891	11880
194	18996	11787
195	19076	11679
196	19167	11578
197	19248	11471
198	19359	11382
199	19430	11269
200	19553	11187
201	19667	11099
202	19737	10987
203	19852	10899
204	19990	10823
205	20164	10767
206	20245	10660
207	20359	10571
208	20453	10471
209	20590	10393
210	20678	10290
211	20823	10215
212	20950	10131
213	21057	10036
214	21156	9938
215	21250	9838
216	21334	9733
217	21440	9638
218	21552	9546
219	21665	9454
220	21758	9353
221	21823	9240
222	21924	9143
223	22084	9070
224	22250	8999
225	22339	8896
226	22428	8793
227	22544	8701
228	22633	8598
229	22771	8514
230	22840	8404
231	22897	8290
232	22966	8181
233	23013	8064
234	23064	7949
235	23104	7831
236	23163	7721
237	23198	7602
238	23247	7489
239	23297	7377
240	23343	7264
241	23395	7154
242	23442	7042
243	23496	6933
244	23541	6822
245	23591	6712
246	23645	6605
247	23701	6498
248	23740	6387
249	23806	6284
250	23852	6176
251	23907	6071
252	23966	5967
253	24016	5862
254	24063	5756
255	24116	5652
256	24161	5546
257	24208	5442
258	24255	5338
259	24302	5234
260	24352	5131
261	24411	5031
262	24462	4929
263	24510	4827
264	24569	4728
265	24621	4628
266	24655	4524
267	24701	4424
268	24754	4325
269	24800	4225
270	24843	4125
271	24890	4026
272	24942	3928
273	24978	3828
274	25028	3731
275	25077	3634
276	25132	3538
277	25184	3442
278	25234	3346
279	25280	3250
280	25333	3155
281	25371	3058
282	25427	2965
283	25472	2870
284	25516	2775
285	25562	2681
286	25616	2588
287	25658	2494
288	25718	2402
289	25776	2310
290	25831	2219
291	25876	2126
292	25919	2034
293	25968	1943
294	26023	1852
295	26077	1762
296	26110	1670
297	26146	1579
298	26191	1489
299	26229	1398
300	26271	1309
301	26312	1219
302	26355	1130
303	26421	1042
304	26473	954
305	26522	866
306	26560	7307307	26604	6308308	26643	603
309	26677	516
310	26723	429
311	26767	343
312	26800	256
313	26838	170
314	26878	85
315	26922	0
